sample_id,gt_parent_id,gt_child_1_id,gt_child_2_id,family,fold,t,parent_candidate_count,daughter_1_candidate_count,daughter_2_candidate_count,distinct_formed_action_count,official_tp_action_count,status,canonical_parent_id,canonical_child_1_id,canonical_child_2_id,canonical_role_distance_um,pair_field_unpadded_crop_coverage,pair_field_available,graph_mutated
44b6_d2f34f90,286000000004,287000000004,287000000005,44b6,1,62,2,1,3,4,4,official_positive,44b6_d2f34f90:t62:cf255,44b6_d2f34f90:t63:cf12,44b6_d2f34f90:t63:cf7,5.523066892125754,1.0,True,False
44b6_d5e7d891,173000000010,174000000010,174000000011,44b6,2,12,3,1,2,3,3,official_positive,44b6_d5e7d891:t12:cf303,44b6_d5e7d891:t13:cf156,44b6_d5e7d891:t13:cf45,14.717670765519667,0.9046930277122642,True,False
44b6_d5e7d891,208000000033,209000000034,209000000033,44b6,2,47,1,1,0,0,0,missing_daughter_detection_within_7um,,,,,,False,False
44b6_eb2880fc,160000000048,161000000049,161000000048,44b6,3,72,2,1,1,2,2,official_positive,44b6_eb2880fc:t72:cf128,44b6_eb2880fc:t73:cf143,44b6_eb2880fc:t73:cf147,6.221197897169542,0.9999999999999999,True,False
6bba_05db0fb1,25000381,26000400,26000403,6bba,3,24,1,1,1,1,1,official_positive,6bba_05db0fb1:t24:cf76,6bba_05db0fb1:t25:cf17,6bba_05db0fb1:t25:cf3,5.561176880862002,1.0,True,False
6bba_05db0fb1,53001011,54001033,54001035,6bba,3,52,0,0,1,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_05db0fb1,63001217,64001240,64001241,6bba,3,62,0,0,0,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_07e24132,36000309,37000317,37000318,6bba,3,35,0,1,1,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_07e24132,66000550,67000557,67000558,6bba,3,65,1,0,1,0,0,missing_daughter_detection_within_7um,,,,,,False,False
6bba_0e7c0d07,58000343,59000348,59000349,6bba,1,57,2,2,1,3,3,official_positive,6bba_0e7c0d07:t57:cf38,6bba_0e7c0d07:t58:cf114,6bba_0e7c0d07:t58:cf5,4.06919147795459,0.7423891553551009,True,False
6bba_207c6aaf,42000280,43000304,43000305,6bba,1,41,2,1,1,1,1,official_positive,6bba_207c6aaf:t41:cf136,6bba_207c6aaf:t42:cf147,6bba_207c6aaf:t42:cf148,11.267323183871504,1.0,True,False
6bba_32db13fc,6000204,7000244,7000281,6bba,3,5,2,1,1,2,2,official_positive,6bba_32db13fc:t5:cf5,6bba_32db13fc:t6:cf1,6bba_32db13fc:t6:cf4,7.201943569545586,0.6253153257886355,True,False
6bba_3abfe10a,82001296,83001334,83001350,6bba,3,81,0,1,1,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_3db54e20,83000724,84000737,84000738,6bba,2,82,2,1,3,5,5,official_positive,6bba_3db54e20:t82:cf103,6bba_3db54e20:t83:cf229,6bba_3db54e20:t83:cf554,7.399914871299969,0.7268480624511338,True,False
6bba_474be664,64000351,65000355,65000356,6bba,2,63,1,2,1,2,2,official_positive,6bba_474be664:t63:cf242,6bba_474be664:t64:cf44,6bba_474be664:t64:cf49,9.617034071960488,0.9999999999999998,True,False
6bba_4ffd3da3,46000256,47000265,47000266,6bba,2,45,2,2,1,2,2,official_positive,6bba_4ffd3da3:t45:cf13,6bba_4ffd3da3:t46:cf2,6bba_4ffd3da3:t46:cf261,11.216858134026879,0.9999999999999998,True,False
6bba_4ffd3da3,55000321,56000329,56000330,6bba,2,54,5,1,1,3,3,official_positive,6bba_4ffd3da3:t54:cf40,6bba_4ffd3da3:t55:cf245,6bba_4ffd3da3:t55:cf32,7.5459329881979365,1.0,True,False
6bba_4ffd3da3,94000737,95000752,95000758,6bba,2,93,4,1,1,1,1,official_positive,6bba_4ffd3da3:t93:cf52,6bba_4ffd3da3:t94:cf104,6bba_4ffd3da3:t94:cf5,7.064995883445734,1.0,True,False
6bba_57b7cc1e,13000378,14000412,14000426,6bba,1,12,2,3,3,18,18,official_positive,6bba_57b7cc1e:t12:cf310,6bba_57b7cc1e:t13:cf9,6bba_57b7cc1e:t13:cf97,6.86132520002424,0.5708821614583335,True,False
6bba_57b7cc1e,24000720,25000750,25000751,6bba,1,23,0,0,2,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_57b7cc1e,78002270,79002293,79002316,6bba,1,77,0,0,1,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_786893ac,2000105,3000158,3000159,6bba,1,1,2,4,1,6,6,official_positive,6bba_786893ac:t1:cf272,6bba_786893ac:t2:cf355,6bba_786893ac:t2:cf579,6.236668815494527,0.9999999999999998,True,False
6bba_786893ac,18000797,19000842,19000843,6bba,1,17,2,0,1,0,0,missing_daughter_detection_within_7um,,,,,,False,False
6bba_786893ac,64002179,65002214,65002215,6bba,1,63,1,2,1,2,2,official_positive,6bba_786893ac:t63:cf576,6bba_786893ac:t64:cf19,6bba_786893ac:t64:cf313,8.526579176141578,1.0,True,False
6bba_78a7bd97,57000619,58000644,58000647,6bba,3,56,2,1,1,2,2,official_positive,6bba_78a7bd97:t56:cf396,6bba_78a7bd97:t57:cf366,6bba_78a7bd97:t57:cf704,9.003840831767736,0.7318036988073465,True,False
6bba_78a7bd97,65000803,66000836,66000837,6bba,3,64,1,1,2,2,2,official_positive,6bba_78a7bd97:t64:cf10,6bba_78a7bd97:t65:cf31,6bba_78a7bd97:t65:cf49,6.236368105741241,1.0,True,False
6bba_969618f6,40000345,41000358,41000359,6bba,1,39,0,2,2,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_969618f6,57000466,58000482,58000483,6bba,1,56,2,1,1,0,0,no_pair_inside_14um_formation_radius,,,,,,False,False
6bba_969618f6,72000614,73000624,73000633,6bba,1,71,1,1,1,0,0,no_pair_inside_14um_formation_radius,,,,,,False,False
6bba_ab78413d,68001291,69001319,69001320,6bba,2,67,0,0,0,0,0,no_parent_detection_within_7um,,,,,,False,False
6bba_ab78413d,78001460,79001493,79001494,6bba,2,77,1,0,1,0,0,missing_daughter_detection_within_7um,,,,,,False,False
6bba_b329af44,83001755,84001784,84001785,6bba,2,82,1,2,1,1,1,official_positive,6bba_b329af44:t82:cf38,6bba_b329af44:t83:cf298,6bba_b329af44:t83:cf309,3.704425815116897,0.9415228754496403,True,False
6bba_ebdf3b34,14000412,15000432,15000433,6bba,2,13,2,1,1,2,2,official_positive,6bba_ebdf3b34:t13:cf520,6bba_ebdf3b34:t14:cf555,6bba_ebdf3b34:t14:cf601,8.600229781074791,0.9696547022405664,True,False
6bba_ebdf3b34,85001151,86001164,86001165,6bba,2,84,1,1,1,1,1,official_positive,6bba_ebdf3b34:t84:cf39,6bba_ebdf3b34:t85:cf282,6bba_ebdf3b34:t85:cf80,4.492854577550861,0.7708976133966244,True,False
6bba_f8ffd5e7,11000111,12000123,12000124,6bba,1,10,2,1,1,2,2,official_positive,6bba_f8ffd5e7:t10:cf146,6bba_f8ffd5e7:t11:cf10,6bba_f8ffd5e7:t11:cf31,6.172422582415051,1.0,True,False
6bba_f8ffd5e7,64000650,65000662,65000663,6bba,1,63,1,2,2,2,2,official_positive,6bba_f8ffd5e7:t63:cf53,6bba_f8ffd5e7:t64:cf107,6bba_f8ffd5e7:t64:cf133,8.478396477132035,1.0,True,False
6bba_fc5f39dc,25000064,26000067,26000068,6bba,3,24,2,0,2,0,0,missing_daughter_detection_within_7um,,,,,,False,False
6bba_fc5f39dc,55000245,56000255,56000256,6bba,3,54,1,2,1,2,2,official_positive,6bba_fc5f39dc:t54:cf148,6bba_fc5f39dc:t55:cf148,6bba_fc5f39dc:t55:cf99,6.5568348408913275,0.9999999999999998,True,False
