peak_id,sample_id,t,z_um,y_um,x_um,confidence,det_threshold,pool_kernel_um,tta
unet:44b6_5f15d135:t36:p00017,44b6_5f15d135,36,4.875,82.875,0.0,0.9984109401702881,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00018,44b6_5f15d135,36,4.875,97.5,8.125,0.9991918206214905,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00019,44b6_5f15d135,36,6.5,22.75,3.25,0.9998155236244202,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00020,44b6_5f15d135,36,6.5,53.625,22.75,0.9991156458854675,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00021,44b6_5f15d135,36,6.5,56.875,30.875,0.9998201727867126,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00022,44b6_5f15d135,36,6.5,68.25,6.5,0.9989584684371948,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00023,44b6_5f15d135,36,6.5,76.375,40.625,0.9996216297149658,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00024,44b6_5f15d135,36,6.5,81.25,21.125,0.9703722596168518,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00025,44b6_5f15d135,36,6.5,86.125,42.25,0.9990355968475342,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00026,44b6_5f15d135,36,8.125,27.625,0.0,0.9982409477233887,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00027,44b6_5f15d135,36,8.125,35.75,0.0,0.9970582723617554,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00028,44b6_5f15d135,36,8.125,37.375,21.125,0.999646782875061,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00029,44b6_5f15d135,36,8.125,50.375,13.0,0.9996756315231323,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00030,44b6_5f15d135,36,8.125,63.375,43.875,0.9999227523803711,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00031,44b6_5f15d135,36,8.125,94.25,47.125,0.9917490482330322,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00032,44b6_5f15d135,36,8.125,102.375,34.125,0.9827006459236145,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00033,44b6_5f15d135,36,9.75,50.375,1.625,0.9995658993721008,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00034,44b6_5f15d135,36,9.75,60.125,17.875,0.9991294741630554,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00035,44b6_5f15d135,36,9.75,81.25,48.75,0.9997605681419373,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00036,44b6_5f15d135,36,11.375,22.75,11.375,0.9998251795768738,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00037,44b6_5f15d135,36,11.375,39.0,11.375,0.9998235106468201,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00038,44b6_5f15d135,36,11.375,100.75,0.0,0.9812876582145691,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00039,44b6_5f15d135,36,13.0,24.375,6.5,0.999133288860321,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00040,44b6_5f15d135,36,13.0,40.625,19.5,0.999321699142456,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00041,44b6_5f15d135,36,13.0,52.0,37.375,0.999672532081604,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00042,44b6_5f15d135,36,13.0,69.875,43.875,0.9999300241470337,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00043,44b6_5f15d135,36,13.0,86.125,13.0,0.9961445331573486,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00044,44b6_5f15d135,36,14.625,53.625,32.5,0.9997956156730652,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00045,44b6_5f15d135,36,16.25,16.25,1.625,0.9996914863586426,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00046,44b6_5f15d135,36,16.25,29.25,19.5,0.999200165271759,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00047,44b6_5f15d135,36,16.25,58.5,0.0,0.9989287257194519,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00048,44b6_5f15d135,36,16.25,63.375,37.375,0.9997835755348206,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00049,44b6_5f15d135,36,16.25,87.75,48.75,0.9960522651672363,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00050,44b6_5f15d135,36,17.875,40.625,4.875,0.9996992349624634,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00051,44b6_5f15d135,36,17.875,50.375,21.125,0.9986560344696045,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00052,44b6_5f15d135,36,17.875,53.625,16.25,0.9998705387115479,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00053,44b6_5f15d135,36,17.875,76.375,11.375,0.9953529834747314,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00054,44b6_5f15d135,36,17.875,97.5,39.0,0.9813089966773987,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00055,44b6_5f15d135,36,19.5,29.25,1.625,0.9989587068557739,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00056,44b6_5f15d135,36,19.5,42.25,29.25,0.9997921586036682,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00057,44b6_5f15d135,36,19.5,69.875,29.25,0.9946994781494141,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00058,44b6_5f15d135,36,19.5,82.875,30.875,0.9928217530250549,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00059,44b6_5f15d135,36,21.125,22.75,4.875,0.9970580339431763,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00060,44b6_5f15d135,36,21.125,53.625,27.625,0.9984910488128662,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00061,44b6_5f15d135,36,21.125,78.0,53.625,0.9985345602035522,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00062,44b6_5f15d135,36,21.125,97.5,16.25,0.9827314019203186,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00063,44b6_5f15d135,36,22.75,17.875,0.0,0.9995299577713013,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00064,44b6_5f15d135,36,22.75,50.375,42.25,0.9999517202377319,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00065,44b6_5f15d135,36,22.75,66.625,53.625,0.9999703168869019,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00066,44b6_5f15d135,36,24.375,27.625,30.875,0.9826207756996155,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00067,44b6_5f15d135,36,24.375,45.5,17.875,0.9992940425872803,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00068,44b6_5f15d135,36,24.375,84.5,53.625,0.9986727237701416,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00069,44b6_5f15d135,36,26.0,32.5,21.125,0.9993407130241394,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00070,44b6_5f15d135,36,26.0,45.5,3.25,0.9997220635414124,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00071,44b6_5f15d135,36,26.0,71.5,14.625,0.9847834706306458,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00072,44b6_5f15d135,36,26.0,92.625,56.875,0.994657576084137,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00073,44b6_5f15d135,36,27.625,63.375,0.0,0.9964243769645691,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00074,44b6_5f15d135,36,27.625,63.375,27.625,0.9994572997093201,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00075,44b6_5f15d135,36,27.625,66.625,45.5,0.9998964071273804,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00076,44b6_5f15d135,36,27.625,68.25,35.75,0.9998369216918945,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00077,44b6_5f15d135,36,27.625,71.5,26.0,0.9990070462226868,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00078,44b6_5f15d135,36,27.625,82.875,35.75,0.9883573651313782,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00079,44b6_5f15d135,36,29.25,19.5,19.5,0.9994695782661438,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00080,44b6_5f15d135,36,29.25,29.25,0.0,0.9979169964790344,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00081,44b6_5f15d135,36,29.25,32.5,11.375,0.9998779296875,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00082,44b6_5f15d135,36,29.25,56.875,52.0,0.9999215602874756,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00083,44b6_5f15d135,36,29.25,71.5,48.75,0.9998675584793091,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00084,44b6_5f15d135,36,29.25,76.375,58.5,0.9953951239585876,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00085,44b6_5f15d135,36,29.25,99.125,61.75,0.99897301197052,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00086,44b6_5f15d135,36,30.875,22.75,1.625,0.9927119016647339,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00087,44b6_5f15d135,36,30.875,43.875,14.625,0.9995347261428833,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00088,44b6_5f15d135,36,32.5,13.0,9.75,0.9996102452278137,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00089,44b6_5f15d135,36,32.5,22.75,11.375,0.999784529209137,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00090,44b6_5f15d135,36,32.5,45.5,24.375,0.9995013475418091,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00091,44b6_5f15d135,36,32.5,45.5,35.75,0.9990106821060181,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00092,44b6_5f15d135,36,32.5,66.625,27.625,0.9996999502182007,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00093,44b6_5f15d135,36,32.5,73.125,24.375,0.9992871880531311,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00094,44b6_5f15d135,36,32.5,76.375,39.0,0.9995582699775696,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00095,44b6_5f15d135,36,34.125,6.5,3.25,0.997491717338562,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00096,44b6_5f15d135,36,34.125,32.5,27.625,0.9996739625930786,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00097,44b6_5f15d135,36,34.125,78.0,32.5,0.9950655102729797,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00098,44b6_5f15d135,36,34.125,79.625,53.625,0.9999279975891113,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00099,44b6_5f15d135,36,35.75,21.125,21.125,0.9935455918312073,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00100,44b6_5f15d135,36,35.75,37.375,39.0,0.9997201561927795,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00101,44b6_5f15d135,36,35.75,45.5,8.125,0.9998528957366943,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00102,44b6_5f15d135,36,35.75,47.125,34.125,0.9924623966217041,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00103,44b6_5f15d135,36,35.75,53.625,30.875,0.9995760321617126,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00104,44b6_5f15d135,36,35.75,55.25,4.875,0.9995684027671814,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00105,44b6_5f15d135,36,35.75,60.125,47.125,0.9998601675033569,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00106,44b6_5f15d135,36,35.75,66.625,52.0,0.9997774958610535,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00107,44b6_5f15d135,36,35.75,69.875,39.0,0.999924898147583,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00108,44b6_5f15d135,36,35.75,95.875,3.25,0.9953200221061707,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00109,44b6_5f15d135,36,37.375,52.0,39.0,0.9991375207901001,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00110,44b6_5f15d135,36,39.0,16.25,1.625,0.9948163628578186,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00111,44b6_5f15d135,36,39.0,60.125,17.875,0.9993127584457397,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00112,44b6_5f15d135,36,39.0,74.75,61.75,0.9998853206634521,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00113,44b6_5f15d135,36,39.0,87.75,58.5,0.9990832805633545,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00114,44b6_5f15d135,36,40.625,30.875,6.5,0.9998038411140442,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00115,44b6_5f15d135,36,40.625,66.625,35.75,0.9993556141853333,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00116,44b6_5f15d135,36,42.25,30.875,0.0,0.9823051691055298,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00117,44b6_5f15d135,36,42.25,35.75,24.375,0.9965150356292725,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00118,44b6_5f15d135,36,42.25,39.0,11.375,0.9997105002403259,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00119,44b6_5f15d135,36,42.25,43.875,42.25,0.9999113082885742,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00120,44b6_5f15d135,36,42.25,45.5,19.5,0.9950851798057556,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00121,44b6_5f15d135,36,42.25,52.0,53.625,0.9999721050262451,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00122,44b6_5f15d135,36,42.25,58.5,22.75,0.9975922107696533,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00123,44b6_5f15d135,36,42.25,65.0,8.125,0.9883379340171814,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00124,44b6_5f15d135,36,42.25,65.0,50.375,0.9983708262443542,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00125,44b6_5f15d135,36,42.25,69.875,55.25,0.9998565912246704,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00126,44b6_5f15d135,36,42.25,86.125,65.0,0.9994727969169617,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00127,44b6_5f15d135,36,42.25,97.5,65.0,0.9962649941444397,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00128,44b6_5f15d135,36,43.875,17.875,17.875,0.998904824256897,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00129,44b6_5f15d135,36,43.875,35.75,37.375,0.9996650218963623,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00130,44b6_5f15d135,36,43.875,40.625,0.0,0.9934636950492859,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00131,44b6_5f15d135,36,43.875,53.625,16.25,0.9979665279388428,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00132,44b6_5f15d135,36,45.5,3.25,0.0,0.9902635812759399,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00133,44b6_5f15d135,36,45.5,24.375,14.625,0.9987205862998962,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00134,44b6_5f15d135,36,45.5,37.375,47.125,0.999584972858429,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00135,44b6_5f15d135,36,45.5,56.875,43.875,0.9991845488548279,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00136,44b6_5f15d135,36,45.5,74.75,60.125,0.9997064471244812,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00137,44b6_5f15d135,36,47.125,68.25,30.875,0.9994978904724121,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00138,44b6_5f15d135,36,48.75,47.125,26.0,0.9965895414352417,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00139,44b6_5f15d135,36,48.75,71.5,66.625,0.9999624490737915,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00140,44b6_5f15d135,36,48.75,86.125,69.875,0.9911932349205017,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00141,44b6_5f15d135,36,50.375,26.0,1.625,0.997654139995575,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00142,44b6_5f15d135,36,50.375,43.875,43.875,0.9997226595878601,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00143,44b6_5f15d135,36,50.375,60.125,35.75,0.9984561204910278,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00144,44b6_5f15d135,36,50.375,60.125,56.875,0.9998879432678223,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00145,44b6_5f15d135,36,50.375,76.375,60.125,0.9994977712631226,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00146,44b6_5f15d135,36,52.0,32.5,26.0,0.9923886656761169,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00147,44b6_5f15d135,36,52.0,34.125,17.875,0.9993324875831604,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00148,44b6_5f15d135,36,52.0,47.125,50.375,0.9999585151672363,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00149,44b6_5f15d135,36,52.0,66.625,53.625,0.9967151880264282,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00150,44b6_5f15d135,36,52.0,79.625,19.5,0.9803346395492554,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00151,44b6_5f15d135,36,53.625,4.875,8.125,0.9928272366523743,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00152,44b6_5f15d135,36,53.625,29.25,34.125,0.9998371601104736,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00153,44b6_5f15d135,36,53.625,43.875,8.125,0.9890271425247192,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00154,44b6_5f15d135,36,53.625,52.0,30.875,0.9990719556808472,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00155,44b6_5f15d135,36,55.25,17.875,6.5,0.9994712471961975,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00156,44b6_5f15d135,36,55.25,39.0,27.625,0.9777193069458008,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00157,44b6_5f15d135,36,55.25,43.875,27.625,0.9988715052604675,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00158,44b6_5f15d135,36,55.25,50.375,55.25,0.9998506307601929,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00159,44b6_5f15d135,36,55.25,61.75,45.5,0.9857977032661438,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00160,44b6_5f15d135,36,55.25,66.625,32.5,0.9960598349571228,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00161,44b6_5f15d135,36,55.25,99.125,3.25,0.9949237704277039,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00162,44b6_5f15d135,36,56.875,24.375,17.875,0.9979286193847656,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00163,44b6_5f15d135,36,56.875,55.25,65.0,0.99988853931427,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00164,44b6_5f15d135,36,56.875,60.125,32.5,0.995198667049408,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00165,44b6_5f15d135,36,56.875,60.125,40.625,0.9981038570404053,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00166,44b6_5f15d135,36,56.875,63.375,60.125,0.9983578324317932,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00167,44b6_5f15d135,36,56.875,95.875,73.125,0.9958855509757996,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00168,44b6_5f15d135,36,58.5,50.375,13.0,0.9888661503791809,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00169,44b6_5f15d135,36,58.5,71.5,68.25,0.997698962688446,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00170,44b6_5f15d135,36,58.5,102.375,71.5,0.9960883855819702,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00171,44b6_5f15d135,36,60.125,34.125,0.0,0.9839168190956116,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00172,44b6_5f15d135,36,60.125,34.125,45.5,0.9994767308235168,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00173,44b6_5f15d135,36,60.125,35.75,37.375,0.9849430322647095,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00174,44b6_5f15d135,36,60.125,39.0,32.5,0.991560161113739,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00175,44b6_5f15d135,36,61.75,45.5,40.625,0.9996205568313599,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00176,44b6_5f15d135,36,61.75,60.125,50.375,0.9969101548194885,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00177,44b6_5f15d135,36,61.75,79.625,69.875,0.9977243542671204,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00178,44b6_5f15d135,36,63.375,37.375,9.75,0.9990684390068054,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00179,44b6_5f15d135,36,63.375,37.375,24.375,0.9992632269859314,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00180,44b6_5f15d135,36,63.375,63.375,8.125,0.9843240976333618,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00181,44b6_5f15d135,36,63.375,65.0,60.125,0.9982511401176453,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00182,44b6_5f15d135,36,63.375,68.25,37.375,0.9959793090820312,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00183,44b6_5f15d135,36,65.0,1.625,3.25,0.9984754920005798,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00184,44b6_5f15d135,36,65.0,32.5,39.0,0.9758784174919128,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00185,44b6_5f15d135,36,65.0,71.5,65.0,0.9992352724075317,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00186,44b6_5f15d135,36,65.0,82.875,74.75,0.9876464605331421,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00187,44b6_5f15d135,36,66.625,61.75,52.0,0.9955553412437439,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00188,44b6_5f15d135,36,68.25,9.75,6.5,0.9972656965255737,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00189,44b6_5f15d135,36,68.25,55.25,53.625,0.9931610822677612,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00190,44b6_5f15d135,36,68.25,55.25,61.75,0.9997544884681702,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00191,44b6_5f15d135,36,68.25,58.5,71.5,0.9998655319213867,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00192,44b6_5f15d135,36,68.25,71.5,50.375,0.9974688291549683,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00193,44b6_5f15d135,36,68.25,99.125,3.25,0.9857686161994934,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00194,44b6_5f15d135,36,69.875,37.375,47.125,0.9997203946113586,0.97,3.0,xy_d4_8_view
unet:44b6_5f15d135:t36:p00195,44b6_5f15d135,36,69.875,39.0,26.0,0.9771037697792053,0.97,3.0,xy_d4_8_view
